source,target,distance,rank
"CD16+, CD56-dim NK cell","CD8+, alpha-beta T cell",0.3245537930194269,7
"CD16+, CD56-dim NK cell",IgG plasma cell,0.3246912966303084,8
"CD16+, CD56-dim NK cell","CD8+, alpha-beta mem. T cell",0.32557990204046183,9
"CD16+, CD56-dim NK cell","naive thym.-der. CD4+, alpha-beta T cell",0.340193214420048,10
"CD16+, CD56-dim NK cell",capillary endothelial cell,0.3408747973695877,11
"CD16+, CD56-dim NK cell","CD4+, alpha-beta T cell",0.3413251511220998,12
"CD16+, CD56-dim NK cell",erythrocyte,0.34137589808342694,13
"CD16+, CD56-dim NK cell",gamma-delta T cell,0.3424027644467317,14
"CD16+, CD56-dim NK cell","CD4+, alpha-beta cytotoxic T cell",0.34322152725467536,15
"CD16+, CD56-dim NK cell",T cell,0.34664881164166095,16
"CD16+, CD56-dim NK cell",microglial cell,0.3605982315226566,17
"CD16+, CD56-dim NK cell",regulatory T cell,0.3615978547191261,18
"CD16+, CD56-dim NK cell",mucosal invariant T cell,0.3617638605603002,19
"CD16+, CD56-dim NK cell","central mem. CD4+, alpha-beta T cell",0.3654727069420277,20
CD1c+ myeloid dendritic cell,dendritic cell,0.3277865811644617,1
CD1c+ myeloid dendritic cell,macrophage,0.3329064794726636,2
CD1c+ myeloid dendritic cell,clas. monocyte,0.3627896250339654,3
CD1c+ myeloid dendritic cell,conventional dendritic cell,0.3646518988667814,4
CD1c+ myeloid dendritic cell,intermediate monocyte,0.37112807614759924,5
CD1c+ myeloid dendritic cell,CD14+ monocyte,0.37925109993792305,6
CD1c+ myeloid dendritic cell,nasal mucosa goblet cell,0.38386434064728037,7
CD1c+ myeloid dendritic cell,"effector mem. CD4+, alpha-beta T cell",0.3860774124046006,8
CD1c+ myeloid dendritic cell,"effector CD8+, alpha-beta T cell",0.39262941965964326,9
CD1c+ myeloid dendritic cell,"effector mem. CD8+, alpha-beta T cell",0.4023416301892955,10
CD1c+ myeloid dendritic cell,club cell,0.4033265015555707,11
CD1c+ myeloid dendritic cell,plasmacytoid dendritic cell,0.4043635593159547,12
CD1c+ myeloid dendritic cell,respiratory basal cell,0.40608565382665673,13
CD1c+ myeloid dendritic cell,endothelial cell of lymphatic vessel,0.4093018305496714,14
CD1c+ myeloid dendritic cell,vip GABAergic cortical interneuron,0.4149304463558875,15
CD1c+ myeloid dendritic cell,L2/3-6 IT projecting neuron,0.4151570309186058,16
CD1c+ myeloid dendritic cell,microglial cell,0.41524973203759985,17
CD1c+ myeloid dendritic cell,alveolar macrophage,0.41887163670577776,18
CD1c+ myeloid dendritic cell,"CD4+, alpha-beta T cell",0.4224589670261848,19
CD1c+ myeloid dendritic cell,"central mem. CD4+, alpha-beta T cell",0.42548645594371226,20
CD4+ helper T cell,innate lymphoid cell,0.12474830979592422,1
CD4+ helper T cell,"CD4+, alpha-beta T cell",0.17761156307403925,2
CD4+ helper T cell,"CD4+, alpha-beta mem. T cell",0.1815619504692505,3
CD4+ helper T cell,T follicular helper cell,0.1866066773416417,4
CD4+ helper T cell,mem. T cell,0.1955290740717298,5
CD4+ helper T cell,"naive thym.-der. CD4+, alpha-beta T cell",0.20673274718848655,6
CD4+ helper T cell,T cell,0.2206687989964421,7
CD4+ helper T cell,T-helper 17 cell,0.22629098556050242,8
CD4+ helper T cell,"effector CD8+, alpha-beta T cell",0.2285242668189469,9
CD4+ helper T cell,regulatory T cell,0.23122348145414207,10
CD4+ helper T cell,"activated CD4+, alpha-beta T cell",0.23949611525279002,11
CD4+ helper T cell,"central mem. CD4+, alpha-beta T cell",0.24175549479651604,12
CD4+ helper T cell,"CD8+, alpha-beta mem. T cell",0.2498403561650272,13
CD4+ helper T cell,"effector mem. CD4+, alpha-beta T cell",0.2563776135494331,14
CD4+ helper T cell,naive T cell,0.2721022394231377,15
CD4+ helper T cell,"CD8+, alpha-beta T cell",0.2766874865345099,16
CD4+ helper T cell,"central mem. CD8+, alpha-beta T cell",0.27914724347097186,17
CD4+ helper T cell,intermediate monocyte,0.28525919082951423,18
CD4+ helper T cell,mature NK T cell,0.29038450904864854,19
CD4+ helper T cell,alpha-beta T cell,0.3057819601049021,20
"CD4+, alpha-beta T cell","CD8+, alpha-beta T cell",0.14125097587368662,1
"CD4+, alpha-beta T cell",CD4+ helper T cell,0.17761156307403925,2
"CD4+, alpha-beta T cell",regulatory T cell,0.18871756255166594,3
"CD4+, alpha-beta T cell","naive thym.-der. CD4+, alpha-beta T cell",0.2031232085878628,4
"CD4+, alpha-beta T cell",mem. T cell,0.20445835091118636,5
"CD4+, alpha-beta T cell",innate lymphoid cell,0.22850347837852147,6
"CD4+, alpha-beta T cell",T follicular helper cell,0.2305149508056703,7
"CD4+, alpha-beta T cell","central mem. CD4+, alpha-beta T cell",0.2353222068948796,8
"CD4+, alpha-beta T cell",T-helper 17 cell,0.2381756335025328,9
"CD4+, alpha-beta T cell",naive T cell,0.24068315511720362,10
"CD4+, alpha-beta T cell","activated CD4+, alpha-beta T cell",0.2460040294929673,11
"CD4+, alpha-beta T cell",NK cell,0.2526772468548565,12
"CD4+, alpha-beta T cell","effector mem. CD4+, alpha-beta T cell",0.25270826146634706,13
"CD4+, alpha-beta T cell",mature alpha-beta T cell,0.25574374057857585,14
"CD4+, alpha-beta T cell",double negative T regulatory cell,0.25714232096974543,15
"CD4+, alpha-beta T cell",T cell,0.2609330797294388,16
"CD4+, alpha-beta T cell","CD4+, alpha-beta mem. T cell",0.27241563326402585,17
"CD4+, alpha-beta T cell",alpha-beta T cell,0.27361347516102585,18
"CD4+, alpha-beta T cell","effector CD8+, alpha-beta T cell",0.27543189991537975,19
"CD4+, alpha-beta T cell",gamma-delta T cell,0.27587875927462535,20
"CD4+, alpha-beta cytotoxic T cell","CD8+, alpha-beta cytotoxic T cell",0.19876052950775558,1
"CD4+, alpha-beta cytotoxic T cell","effector mem. CD8+, alpha-beta T cell",0.20588760982235677,2
"CD4+, alpha-beta cytotoxic T cell","effector CD8+, alpha-beta T cell",0.266994966963628,3
"CD4+, alpha-beta cytotoxic T cell","central mem. CD8+, alpha-beta T cell",0.27364959234687647,4
"CD4+, alpha-beta cytotoxic T cell",nasal mucosa goblet cell,0.2748063419264889,5
"CD4+, alpha-beta cytotoxic T cell",gamma-delta T cell,0.279402810375057,6
"CD4+, alpha-beta cytotoxic T cell","effector mem. CD4+, alpha-beta T cell",0.2871596143263033,7
"CD4+, alpha-beta cytotoxic T cell","CD8+, alpha-beta T cell",0.2918111324365742,8
"CD4+, alpha-beta cytotoxic T cell","CD8+, alpha-beta mem. T cell",0.3045591276620523,9
"CD4+, alpha-beta cytotoxic T cell",mucosal invariant T cell,0.310641940214167,10
"CD4+, alpha-beta cytotoxic T cell",regulatory T cell,0.32072280961413857,11
"CD4+, alpha-beta cytotoxic T cell","central mem. CD4+, alpha-beta T cell",0.32183387728698654,12
"CD4+, alpha-beta cytotoxic T cell","effector mem. CD8+, alpha-beta T cell, term. diff.",0.3221680161446113,13
"CD4+, alpha-beta cytotoxic T cell","CD4+, alpha-beta T cell",0.3267142173635723,14
"CD4+, alpha-beta cytotoxic T cell",mature NK T cell,0.3412595780906047,15
"CD4+, alpha-beta cytotoxic T cell","CD16+, CD56-dim NK cell",0.34322152725467536,16
"CD4+, alpha-beta cytotoxic T cell",respiratory basal cell,0.3454452525176076,17
"CD4+, alpha-beta cytotoxic T cell",astrocyte of the cerebral cortex,0.34546663402623334,18
"CD4+, alpha-beta cytotoxic T cell","activated CD8+, alpha-beta T cell",0.3459062804715781,19
"CD4+, alpha-beta cytotoxic T cell",NK cell,0.346581948643079,20
"CD4+, alpha-beta mem. T cell",CD4+ helper T cell,0.1815619504692505,1
"CD4+, alpha-beta mem. T cell","naive thym.-der. CD4+, alpha-beta T cell",0.21979093038670172,2
"CD4+, alpha-beta mem. T cell",innate lymphoid cell,0.24652953865059912,3
"CD4+, alpha-beta mem. T cell",regulatory T cell,0.26591959510865015,4
"CD4+, alpha-beta mem. T cell","CD4+, alpha-beta T cell",0.27241563326402585,5
"CD4+, alpha-beta mem. T cell","activated CD4+, alpha-beta T cell",0.2734342785593966,6
"CD4+, alpha-beta mem. T cell","CD8+, alpha-beta mem. T cell",0.2788485583208098,7
"CD4+, alpha-beta mem. T cell",mem. T cell,0.2827032523936692,8
"CD4+, alpha-beta mem. T cell","central mem. CD4+, alpha-beta T cell",0.28414963911140534,9
"CD4+, alpha-beta mem. T cell",T follicular helper cell,0.2977880293444958,10
"CD4+, alpha-beta mem. T cell","effector mem. CD4+, alpha-beta T cell",0.3238286072794554,11
"CD4+, alpha-beta mem. T cell",mem. B cell,0.33641312285946,12
"CD4+, alpha-beta mem. T cell","effector CD8+, alpha-beta T cell",0.3532144911993905,13
"CD4+, alpha-beta mem. T cell",T cell,0.353669629875485,14
"CD4+, alpha-beta mem. T cell",gamma-delta T cell,0.35869925237227573,15
"CD4+, alpha-beta mem. T cell",mucosal invariant T cell,0.3604081331544413,16
"CD4+, alpha-beta mem. T cell","CD8+, alpha-beta T cell",0.3608674946265339,17
"CD4+, alpha-beta mem. T cell",naive T cell,0.36544340899493677,18
"CD4+, alpha-beta mem. T cell",mature NK T cell,0.3656300607106905,19
"CD4+, alpha-beta mem. T cell",T-helper 22 cell,0.3663031430720053,20
"CD8-alpha-alpha+, lpha-eta intraepith. T cell","activated CD8+, alpha-beta T cell",0.30343720492456105,1
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",mem. T cell,0.31045874234856163,2
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",alpha-beta T cell,0.3252994352760693,3
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",T follicular helper cell,0.35897592172179593,4
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",T cell,0.3675272645932045,5
"CD8-alpha-alpha+, lpha-eta intraepith. T cell","CD8+, alpha-beta T cell",0.36971742751549175,6
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",innate lymphoid cell,0.37047720948430396,7
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",T-helper 17 cell,0.3778056180505802,8
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",gamma-delta T cell,0.38068185203500016,9
"CD8-alpha-alpha+, lpha-eta intraepith. T cell","CD8+, alpha-beta mem. T cell",0.38528098924296406,10
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",NK cell,0.38732784134155596,11
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",immature innate lymphoid cell,0.3892559157549885,12
"CD8-alpha-alpha+, lpha-eta intraepith. T cell","central mem. CD8+, alpha-beta T cell",0.39409079970124394,13
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",double negative T regulatory cell,0.4012440458141431,14
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",regulatory T cell,0.4082942319559263,15
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",CD4+ helper T cell,0.4138745009452681,16
"CD8-alpha-alpha+, lpha-eta intraepith. T cell","activated CD4+, alpha-beta T cell",0.41407586806367414,17
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",luminal epith. cell of mammary gland,0.4141278278119307,18
"CD8-alpha-alpha+, lpha-eta intraepith. T cell","naive thym.-der. CD8+, alpha-beta T cell",0.4147592567072733,19
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",mature NK T cell,0.41599919735957247,20
"CD8+, alpha-beta T cell","CD4+, alpha-beta T cell",0.14125097587368662,1
"CD8+, alpha-beta T cell","effector CD8+, alpha-beta T cell",0.1872134982492284,2
"CD8+, alpha-beta T cell",NK cell,0.2000630287299946,3
"CD8+, alpha-beta T cell","CD8+, alpha-beta mem. T cell",0.20988009432005295,4
"CD8+, alpha-beta T cell","activated CD8+, alpha-beta T cell",0.22056052470489163,5
"CD8+, alpha-beta T cell","effector mem. CD8+, alpha-beta T cell",0.22807227097550753,6
"CD8+, alpha-beta T cell",gamma-delta T cell,0.228446702216056,7
"CD8+, alpha-beta T cell",mature alpha-beta T cell,0.23127060468160643,8
"CD8+, alpha-beta T cell",innate lymphoid cell,0.2490176320387797,9
"CD8+, alpha-beta T cell",mem. T cell,0.24919958673012454,10
"CD8+, alpha-beta T cell",T cell,0.2497392145522832,11
"CD8+, alpha-beta T cell","naive thym.-der. CD8+, alpha-beta T cell",0.2507865453912005,12
"CD8+, alpha-beta T cell",mature NK T cell,0.25284012707623826,13
"CD8+, alpha-beta T cell",T-helper 17 cell,0.2537207205577149,14
"CD8+, alpha-beta T cell","CD8+, alpha-beta cytotoxic T cell",0.25625070614656986,15
"CD8+, alpha-beta T cell",alpha-beta T cell,0.2620932439378598,16
"CD8+, alpha-beta T cell","central mem. CD8+, alpha-beta T cell",0.264065418052122,17
"CD8+, alpha-beta T cell",double negative T regulatory cell,0.26411834165674897,18
"CD8+, alpha-beta T cell","activated CD4+, alpha-beta T cell",0.2663100104643247,19
"CD8+, alpha-beta T cell",mature gamma-delta T cell,0.27264681578510963,20
"CD8+, alpha-beta cytotoxic T cell","effector mem. CD8+, alpha-beta T cell, term. diff.",0.18568889573876257,1
"CD8+, alpha-beta cytotoxic T cell","CD4+, alpha-beta cytotoxic T cell",0.19876052950775558,2
"CD8+, alpha-beta cytotoxic T cell","CD8+, alpha-beta mem. T cell",0.20517166485826566,3
"CD8+, alpha-beta cytotoxic T cell","effector mem. CD8+, alpha-beta T cell",0.21812430012941253,4
"CD8+, alpha-beta cytotoxic T cell","central mem. CD8+, alpha-beta T cell",0.22492732702889917,5
"CD8+, alpha-beta cytotoxic T cell","effector CD8+, alpha-beta T cell",0.22824469916112322,6
"CD8+, alpha-beta cytotoxic T cell","CD8+, alpha-beta T cell",0.25625070614656986,7
"CD8+, alpha-beta cytotoxic T cell",gamma-delta T cell,0.26578196419963074,8
"CD8+, alpha-beta cytotoxic T cell","activated CD8+, alpha-beta T cell",0.2779081889993609,9
"CD8+, alpha-beta cytotoxic T cell",NK cell,0.2890807036876696,10
"CD8+, alpha-beta cytotoxic T cell","CD16+, CD56-dim NK cell",0.3008743706678396,11
"CD8+, alpha-beta cytotoxic T cell",mucosal invariant T cell,0.32050700971254986,12
"CD8+, alpha-beta cytotoxic T cell",mature NK T cell,0.32331999506254594,13
"CD8+, alpha-beta cytotoxic T cell",T cell,0.3270715252020281,14
"CD8+, alpha-beta cytotoxic T cell",lung macrophage,0.3369679389261728,15
"CD8+, alpha-beta cytotoxic T cell",nasal mucosa goblet cell,0.33999352466158894,16
"CD8+, alpha-beta cytotoxic T cell",kidney connecting tubule epith. cell,0.3440853188138463,17
"CD8+, alpha-beta cytotoxic T cell",macrophage,0.3485231240875867,18
"CD8+, alpha-beta cytotoxic T cell",regulatory T cell,0.3486591858920267,19
"CD8+, alpha-beta cytotoxic T cell","naive thym.-der. CD8+, alpha-beta T cell",0.35292727248259237,20
"CD8+, alpha-beta mem. T cell","effector CD8+, alpha-beta T cell",0.19405535735279567,1
"CD8+, alpha-beta mem. T cell","CD8+, alpha-beta cytotoxic T cell",0.20517166485826566,2
"CD8+, alpha-beta mem. T cell","CD8+, alpha-beta T cell",0.20988009432005295,3
"CD8+, alpha-beta mem. T cell","naive thym.-der. CD8+, alpha-beta T cell",0.2112767059815589,4
"CD8+, alpha-beta mem. T cell","central mem. CD8+, alpha-beta T cell",0.22423069315973643,5
"CD8+, alpha-beta mem. T cell","activated CD8+, alpha-beta T cell",0.2243227896296005,6
"CD8+, alpha-beta mem. T cell","effector mem. CD8+, alpha-beta T cell",0.23678626989831708,7
"CD8+, alpha-beta mem. T cell",CD4+ helper T cell,0.2498403561650272,8
"CD8+, alpha-beta mem. T cell",innate lymphoid cell,0.25756179424181536,9
"CD8+, alpha-beta mem. T cell",gamma-delta T cell,0.2614740232043553,10
"CD8+, alpha-beta mem. T cell",mature NK T cell,0.2748729995926852,11
"CD8+, alpha-beta mem. T cell","effector mem. CD8+, alpha-beta T cell, term. diff.",0.2776163339148676,12
"CD8+, alpha-beta mem. T cell",T cell,0.27771019626055016,13
"CD8+, alpha-beta mem. T cell",mucosal invariant T cell,0.2778116171631043,14
"CD8+, alpha-beta mem. T cell","CD4+, alpha-beta mem. T cell",0.2788485583208098,15
"CD8+, alpha-beta mem. T cell","CD4+, alpha-beta T cell",0.2819835080334875,16
"CD8+, alpha-beta mem. T cell",mem. T cell,0.2880989997389882,17
"CD8+, alpha-beta mem. T cell","CD4+, alpha-beta cytotoxic T cell",0.3045591276620523,18
"CD8+, alpha-beta mem. T cell","naive thym.-der. CD4+, alpha-beta T cell",0.305005173583182,19
"CD8+, alpha-beta mem. T cell",double negative T regulatory cell,0.3053545821337935,20
IgA plasma cell,IgG plasma cell,0.19902536921142644,1
IgA plasma cell,mem. T cell,0.33060676377039344,2
IgA plasma cell,T-helper 17 cell,0.3682182120361954,3
IgA plasma cell,erythrocyte,0.37105542141098113,4
IgA plasma cell,plasma cell,0.3726298085542149,5
IgA plasma cell,naive B cell,0.3746684614405734,6
IgA plasma cell,plasmablast,0.38071524323648764,7
IgA plasma cell,pericyte,0.38158847051240863,8
IgA plasma cell,foveolar cell of stomach,0.3822194468343737,9
IgA plasma cell,basal cell,0.3835149609934705,10
IgA plasma cell,hematopoietic stem cell,0.38437737044093134,11
IgA plasma cell,T follicular helper cell,0.3888023262908147,12
IgA plasma cell,club cell,0.38899587841322925,13
IgA plasma cell,B cell,0.39812220482353433,14
IgA plasma cell,T-helper 22 cell,0.398473314660443,15
IgA plasma cell,class switched mem. B cell,0.39905429824599736,16
